publisher,total_global_sales,game_count,avg_sales_per_game,median_sales_per_game,active_years,platform_count,genre_count,avg_market_share_pct,high_success_rate
Data Age,1.42,11,0.355,0.355,4,2,3,1.179797129602821,0
Pinnacle,1.42,8,0.28400000000000003,0.1,2,4,5,0.10696414689063617,0.2
Rage Software,1.42,13,0.20285714285714285,0.1,4,7,8,0.2544123438282322,0.14285714285714285
Sold Out,1.39,17,0.086875,0.055,4,3,6,0.33749595019514617,0
Slightly Mad Studios,1.3800000000000001,4,0.46,0.23,2,4,2,0.47924986976905715,0.3333333333333333
Bigben Interactive,1.37,68,0.04566666666666667,0.05,8,9,9,0.18561010643504203,0
Mumbo Jumbo,1.34,69,0.05153846153846154,0.02,10,7,11,0.035728182691172734,0
Nippon Columbia,1.34,19,0.08375,0.065,7,3,5,0.07992856299240285,0
FuRyu,1.32,27,0.04888888888888889,0.04,7,4,5,0.07836577432433474,0
Big Ben Interactive,1.31,53,0.1190909090909091,0.05,16,18,8,0.052462720319944985,0.09090909090909091
Rebellion Developments,1.3,19,0.18571428571428572,0.1,8,6,1,0.19277811925996274,0.14285714285714285
Sierra Entertainment,1.27,194,0.07470588235294118,0,29,17,12,0.059060968449845354,0.058823529411764705
Gust,1.26,23,0.084,0.07,15,6,5,0.0313325516146578,0
Russel,1.2400000000000002,14,0.12400000000000001,0.01,4,5,4,0.019109845692212128,0.1
Brash Entertainment,1.23,14,0.123,0.1,2,5,2,0.11444919996563738,0
Gremlin Interactive Ltd,1.23,31,0.12300000000000001,0.135,7,5,7,0.16806938188681236,0
Acquire,1.2,29,0.06666666666666667,0.07500000000000001,9,10,5,0.03729823415526615,0
Black Label Games,1.2,5,1.2,1.2,2,4,4,0.28333962976955046,1
Broccoli,1.2,54,0.04,0.02,18,11,9,0.03759037136501028,0
Playlogic Game Factory,1.2,28,0.06315789473684211,0.05,6,8,9,0.1018204408976784,0
Sunsoft,1.2,189,0.08571428571428572,0.065,25,19,10,0.08070063349869983,0
Aruze Corp,1.1800000000000002,7,0.39333333333333337,0.53,3,3,4,0.2360907323601472,0.6666666666666666
BMG Interactive Entertainment,1.18,12,0.16857142857142857,0.11,5,4,6,0.1422734765213948,0.14285714285714285
Paradox Interactive,1.1500000000000001,175,0.022549019607843137,0.02,22,13,8,0.02597453872907448,0
Jester Interactive,1.15,6,0.3833333333333333,0.4,3,2,3,0.09675391758291414,0.6666666666666666
Telegames,1.15,43,0.08846153846153847,0.08,22,7,11,0.03235226325138007,0.07692307692307693
Epoch,1.12,50,0.14,0.07500000000000001,15,8,8,0.18664339915143166,0.125
Broderbund,1.1,30,1.1,1.1,13,4,10,4.515599343185551,1
Mentor Interactive,1.1,9,0.1375,0.045000000000000005,4,2,3,0.06378740646026289,0.125
CPG Products,1.08,2,0.54,0.54,2,1,1,1.1967092403503394,1
