publisher,total_global_sales,game_count,avg_sales_per_game,median_sales_per_game,active_years,platform_count,genre_count,avg_market_share_pct,high_success_rate
Carbine Studios,0.16,1,0.16,0.16,1,1,1,0.04300497244993952,0
FCI,0.16,27,0.16,0.16,9,3,10,0.2806032970887408,0
Gainax Network Systems,0.16,10,0.08,0.08,5,5,3,0.05486780288741812,0
White Park Bay Software,0.16,1,0.16,0.16,1,1,1,0.02458777065756919,0
Comfort,0.15,6,0.025,0.02,4,2,2,0.00777528467668016,0
Data East,0.15,90,0.075,0.075,15,16,11,0.036999845196749946,0
EA Games,0.15,1,0.15,0.15,1,1,1,0.03521540086864656,0
Kaga Create,0.15,8,0.02142857142857143,0.01,3,3,3,0.03450564202307157,0
O~3 Entertainment,0.15,4,0.05,0.04,4,3,3,0.008555658633296229,0
Evolution Games,0.14,3,0.07,0.07,3,2,2,0.021811748921981462,0
Game Arts,0.14,10,0.14,0.14,9,6,5,0.14364867638005335,0
General Entertainment,0.14,8,0.14,0.14,4,2,3,0.04800932752649086,0
HMH Interactive,0.14,5,0.07,0.07,2,2,2,0.006269173452599686,0
Imadio,0.14,6,0.14,0.14,3,2,3,0.06326539834606174,0
Sony Music Entertainment,0.14,10,0.14,0.14,6,3,6,0.03923766816143498,0
Moss,0.13999999999999999,4,0.04666666666666666,0.01,4,3,3,0.007088702018041317,0
Aerosoft,0.13,15,0.021666666666666667,0.015,8,1,2,0.02767343072747572,0
Big Fish Games,0.13,97,0.0052,0,14,9,7,0.041452015431872366,0
DreamWorks Interactive,0.13,6,0.13,0.13,4,3,3,0.04458008984602722,0
Experience Inc.,0.13,15,0.018571428571428572,0.01,8,7,4,0.010844781920073938,0
Havas Interactive,0.13,1,0.13,0.13,1,1,1,0.05435464314086215,0
Myelin Media,0.13,5,0.0325,0.03,2,4,2,0.02336700578782758,0
responDESIGN,0.13,3,0.065,0.065,2,3,1,0.011993040519783832,0
Bohemia Interactive,0.12,6,0.12,0.12,4,2,4,0.02972357079163777,0
Flight-Plan,0.12,2,0.06,0.06,2,1,2,0.008918676522507236,0
FunSoft,0.12,4,0.12,0.12,2,2,4,0.05465725347301298,0
Insomniac Games,0.12,4,0.04,0.04,2,3,1,0.06841115101761587,0
LSP Games,0.12,14,0.024,0.03,5,5,6,0.017201261526059355,0
NDA Productions,0.12,3,0.12,0.12,2,3,1,0.02833396297695504,0
Psyonix Studios,0.12,1,0.12,0.12,1,1,1,0.04167390171904844,0
Ready at Dawn,0.12,3,0.04,0.05,1,3,1,0.06252605252188412,0
SPS,0.12,3,0.12,0.12,2,1,2,0.05465725347301298,0
T&E Soft,0.12,13,0.12,0.12,7,7,4,0.2104524728165556,0
TopWare Interactive,0.12,17,0.02,0.02,5,8,3,0.004170506438206174,0
1C Company,0.11,43,0.018333333333333333,0.01,17,8,9,0.006451548510625862,0
Ascaron Entertainment GmbH,0.11,5,0.03666666666666667,0.04,4,1,4,0.00926747511027884,0
Creative Core,0.11,11,0.015714285714285715,0.01,3,1,5,0.006698160333950009,0
Interchannel,0.11,17,0.015714285714285715,0.01,7,5,5,0.006464810610512949,0
Pack-In-Video,0.11,27,0.055,0.055,11,7,10,0.10089891762979272,0
Panasonic Interactive Media,0.11,25,0.055,0.055,4,2,10,0.05005968057459427,0
PopTop Software,0.11,1,0.11,0.11,1,1,1,0.03525867042759151,0
TOHO,0.11,14,0.11,0.11,7,5,8,0.1929147667485093,0
Team 17,0.11,31,0.11,0.11,6,6,7,0.07434441741011083,0
Tradewest,0.11,41,0.022000000000000002,0.02,11,12,6,0.01682677598972037,0
Yuke's,0.11,11,0.0275,0.03,6,6,5,0.007582664701635767,0
dramatic create,0.11,5,0.022,0.02,2,1,2,0.019638300539428274,0
AIA,0.1,6,0.02,0,3,2,5,0.011545629990778749,0
Dovetail Games,0.1,4,0.03333333333333333,0.05,2,3,2,0.06758583400919167,0
Enjoy Gaming ltd.,0.1,21,0.05,0.05,3,3,3,0.01385866929057471,0
GN Software,0.1,22,0.011111111111111112,0.01,10,5,3,0.003510876131980559,0
GameTek,0.1,85,0.1,0.1,12,11,11,0.03429237680463633,0
Games Workshop,0.1,5,0.05,0.05,3,5,2,0.05700929251467989,0
Image Epoch,0.1,1,0.1,0.1,1,1,1,0.02347693391243103,0
Interplay Productions,0.1,21,0.1,0.1,6,9,10,0.04518957024718695,0
KID,0.1,66,0.02,0.02,10,7,8,0.011747862669621521,0
Licensed 4U,0.1,4,0.025,0.025,2,2,3,0.014341248387617205,0
Rising Star,0.1,14,0.01,0,6,8,9,0.012125030036304798,0
Type-Moon,0.1,11,0.1,0.1,7,4,4,0.0268781077812122,0
Viva Media,0.1,43,0.0125,0,13,4,9,0.003980945695819414,0
Groove Games,0.09999999999999999,11,0.02,0.01,5,2,2,0.009478545925035236,0
TGL,0.09999999999999999,18,0.024999999999999998,0.03,9,7,5,0.019307602545194785,0
Athena,0.09000000000000001,31,0.045000000000000005,0.045000000000000005,14,11,6,0.011363729874313546,0
Edia,0.09000000000000001,3,0.045000000000000005,0.045000000000000005,3,1,1,0.007676983871934125,0
Arika,0.09,13,0.030000000000000002,0.02,10,4,6,0.007487432530164992,0
Culture Publishers,0.09,2,0.09,0.09,1,1,2,0.03086313912417269,0
DotEmu,0.09,20,0.045,0.045,5,7,5,0.04689453939141309,0
Focus Multimedia,0.09,15,0.01,0.01,5,1,4,0.008497116383065165,0
Griffin International,0.09,1,0.09,0.09,1,1,1,0.01376736217340757,0
Hearty Robin,0.09,6,0.09,0.09,3,1,4,0.04099294010475973,0
Nippon Amuse,0.09,1,0.09,0.09,1,1,1,0.02125047223271628,0
Office Create,0.09,6,0.03,0.03,5,3,4,0.01259566770866714,0
Origin Systems,0.09,40,0.09,0.09,13,4,6,0.04067061322246825,0
Perp Games,0.09,7,0.045,0.045,4,4,5,0.029475950505495452,0
Phantom EFX,0.09,6,0.09,0.09,3,2,2,0.01247280236151724,0
Princess Soft,0.09,26,0.015,0.015,7,3,2,0.004224947644271601,0
TREVA Entertainment,0.09,3,0.045,0.045,1,2,2,0.0608272506082725,0
Techland,0.09,19,0.018,0.01,10,9,5,0.032554453785319445,0
7G//AMES,0.08,12,0.016,0.02,2,5,4,0.006851386564818315,0
Abylight,0.08,17,0.08,0.08,6,5,7,0.01223765526525117,0
Badland Games,0.08,5,0.08,0.08,2,2,4,0.04168403501458941,0
Cloud Imperium Games Corporation,0.08,5,0.04,0.04,2,3,2,0.01878154712994483,0
Crimson Cow,0.08,2,0.04,0.04,2,1,2,0.006558805967581575,0
Flashpoint Games,0.08,3,0.04,0.04,3,3,3,0.00698182845476422,0
Glams,0.08,3,0.08,0.08,3,2,2,0.0733810310034856,0
Iceberg Interactive,0.08,29,0.016,0.02,10,7,7,0.007245906773056235,0
MC2 Entertainment,0.08,5,0.02,0.02,3,3,2,0.011125335162385746,0
Mamba Games,0.08,5,0.026666666666666665,0.03,4,1,2,0.0038499870378747923,0
Mitsui,0.08,3,0.08,0.08,3,3,3,0.02743390144370906,0
Seventh Chord,0.08,1,0.08,0.08,1,1,1,0.01981571386109184,0
Sprite,0.08,4,0.02666666666666667,0.03,3,4,1,0.5892116936799828,0
Strategy First,0.08,86,0.01,0.01,17,5,8,0.005576914100440686,0
Studio Wildcard,0.08,8,0.08,0.08,4,6,3,0.05406866720735334,0
System Soft,0.08,42,0.005,0,9,8,5,0.004527183637153304,0
Alawar Entertainment,0.07,25,0.011666666666666667,0.01,9,8,6,0.0037727120500261366,0
Altron,0.07,10,0.07,0.07,6,7,4,0.01961883408071749,0
Aria,0.07,2,0.035,0.035,2,2,2,0.01258223388575331,0
Coconuts Japan,0.07,22,0.035,0.035,9,9,8,0.05625693510233977,0
Cygames,0.07,6,0.035,0.035,3,4,2,0.02430977600277826,0
Elite,0.07,4,0.07,0.07,4,4,4,0.03188339785925757,0
Encore,0.07,40,0.007,0,9,7,11,0.005368017899993772,0
FDG Entertainment,0.07,15,0.035,0.035,6,9,4,0.04731008380643417,0
Locus,0.07,4,0.07,0.07,2,2,2,0.02400466376324543,0
Misawa,0.07,2,0.035,0.035,2,1,1,0.054104884911548135,0
Monte Christo Multimedia,0.07,7,0.023333333333333334,0.02,4,2,4,0.006436700031747716,0
Perpetual,0.07,2,0.035,0.035,1,1,2,0.04731008380643417,0
Polykid,0.07,1,0.07,0.07,1,1,1,0.03647353063776574,0
Unbalance,0.07,5,0.07,0.07,4,3,3,2.7450980392156863,0
Unfinished Pixel,0.07,10,0.035,0.035,5,7,3,0.021271191255862902,0
Warp,0.07,6,0.07,0.07,5,3,3,0.03163269917303087,0
id Software,0.07,13,0.035,0.035,8,2,2,0.058901665884162784,0
Ravenscourt,0.06999999999999999,6,0.02333333333333333,0.03,3,5,2,0.04731008380643416,0
Revolution Software,0.06999999999999999,5,0.02333333333333333,0.01,3,4,1,0.02430977600277826,0
iWin,0.06999999999999999,16,0.017499999999999998,0.005,6,3,4,0.00449782352586052,0
Alliance Digital Media,0.06,4,0.06,0.06,2,4,2,0.03126302626094206,0
DigiCube,0.06,7,0.06,0.06,3,2,4,0.01416698148847752,0
Ecole,0.06,6,0.06,0.06,6,4,4,0.00831520157434483,0
Fields,0.06,2,0.03,0.03,1,1,1,0.01408616034745862,0
Fortyfive,0.06,5,0.06,0.06,4,1,4,0.02057542608278179,0
Grand Prix Games,0.06,2,0.06,0.06,2,2,1,0.00922041399658844,0
HAL Laboratory,0.06,23,0.06,0.06,7,5,8,0.07815552950371239,0
Imax,0.06,1,0.06,0.06,1,1,1,0.1052262364082778,0
"Orbital Media, Inc.",0.06,1,0.06,0.06,1,1,1,0.01176724391535429,0
Sonnet,0.06,5,0.03,0.03,2,3,2,0.014625736896750289,0
Stainless Games,0.06,9,0.02,0.02,4,5,3,0.01673496909842073,0
Sweets,0.06,7,0.02,0.02,4,1,1,0.004893953133272616,0
Virtual Play Games,0.06,3,0.02,0.02,1,2,2,0.00917824144893838,0
Yumedia,0.06,2,0.06,0.06,2,1,1,0.0550357732526142,0
Zenrin,0.06,8,0.03,0.03,4,2,2,0.003896746652700148,0
Acttil,0.05,5,0.05,0.05,2,3,1,0.02850464625733994,0
Anuman,0.05,8,0.05,0.05,4,5,2,0.02850464625733994,0
Dusenberry Martin Racing,0.05,3,0.025,0.025,1,3,1,0.02850464625733994,0
Easy Interactive,0.05,2,0.025,0.025,1,1,1,0.01173846695621551,0
Eidos Interactive Ltd,0.05,4,0.016666666666666666,0,3,4,2,0.01736412571627018,0
Electro Brain,0.05,25,0.05,0.05,7,5,10,0.01714618840231816,0
Ertain,0.05,19,0.05,0.05,6,4,5,0.00768367833049037,0
G.Rev,0.05,6,0.016666666666666666,0.01,6,4,3,0.0027742270149232534,0
Gakken,0.05,19,0.0125,0.015,8,5,1,0.00560419276822812,0
Giants Software,0.05,5,0.05,0.05,4,4,1,0.00869504730105731,0
Klei Entertainment,0.05,18,0.05,0.05,8,10,8,0.03379291700459583,0
Lexicon Entertainment,0.05,5,0.016666666666666666,0.02,3,2,4,0.003646881086094295,0
Marvel Entertainment,0.05,5,0.05,0.05,4,3,2,0.01736412571627018,0
Max Five,0.05,1,0.05,0.05,1,1,1,0.0140134529147982,0
MediaQuest,0.05,14,0.05,0.05,6,5,4,0.0458631443771785,0
Minato Station,0.05,3,0.016666666666666666,0.02,3,3,2,0.0036172556998782,0
Modus Games,0.05,35,0.025,0.025,4,6,5,0.03379291700459583,0
Phantagram,0.05,2,0.05,0.05,2,2,2,0.0118058179070646,0
Phantom 8 Studio,0.05,3,0.025,0.025,1,3,1,0.03379291700459583,0
Piacci,0.05,11,0.01,0.01,9,6,4,0.005207470141509313,0
Pony Canyon,0.05,22,0.05,0.05,15,5,9,0.02090563197725467,0
Pow,0.05,3,0.05,0.05,2,3,2,0.0458631443771785,0
Snail Games USA,0.05,3,0.05,0.05,1,2,2,0.03379291700459583,0
Summitsoft,0.05,6,0.025,0.025,5,3,3,0.00540750054862747,0
TechnoSoft,0.05,28,0.05,0.05,8,4,7,0.01714618840231816,0
Tequila Works,0.05,4,0.05,0.05,2,3,1,0.03379291700459583,0
The Learning Company,0.05,16,0.05,0.05,9,4,4,0.02090563197725467,0
Tulip Games,0.05,3,0.016666666666666666,0.02,2,2,1,0.0123848211631824,0
Vap,0.05,16,0.05,0.05,10,4,5,0.05130309870716191,0
Yamasa Entertainment,0.05,28,0.0125,0.015,9,6,1,0.004928603027268936,0
honeybee,0.05,16,0.008333333333333333,0.01,7,3,3,0.011109246013245278,0
imageepoch Inc.,0.05,3,0.016666666666666666,0.01,1,1,3,0.0134390538906061,0
2D Boy,0.04,2,0.04,0.04,1,2,1,0.00536711034778875,0
49Games,0.04,1,0.04,0.04,1,1,1,0.00554346771622988,0
Alvion,0.04,2,0.02,0.02,2,1,1,0.002915573837213865,0
Dorart,0.04,59,0.008,0.01,12,8,4,0.0018706877237823073,0
Frozenbyte,0.04,11,0.04,0.04,8,6,4,0.00939077356497241,0
Her Interactive,0.04,16,0.013333333333333332,0.01,9,1,1,0.0023105902853689823,0
HuneX,0.04,5,0.013333333333333334,0.01,4,3,3,0.00784158721254848,0
Introversion Software,0.04,3,0.02,0.02,2,3,2,0.02280371700587195,0
Ivolgamus,0.04,2,0.04,0.04,2,2,2,0.00536711034778875,0
Kids Station,0.04,11,0.02,0.02,5,5,3,0.00320383449098663,0
Kool Kizz,0.04,3,0.04,0.04,3,2,3,0.00989339862976429,0
Legacy Interactive,0.04,10,0.04,0.04,6,3,5,0.00536711034778875,0
Neocore Games,0.04,4,0.02,0.02,2,4,1,0.02703433360367667,0
Playmore,0.04,5,0.04,0.04,2,3,1,0.00944465432565168,0
Red Hook Studios,0.04,7,0.04,0.04,3,6,2,0.02703433360367667,0
Riverhillsoft,0.04,16,0.04,0.04,9,6,8,0.0366905155017428,0
Societa,0.04,1,0.04,0.04,1,1,1,0.01821908449100432,0
System Soft Alpha,0.04,3,0.013333333333333334,0.01,3,2,2,0.005554824853409677,0
Technos Japan Corporation,0.04,16,0.02,0.02,7,5,4,0.013727399998186781,0
UIG Entertainment,0.04,9,0.013333333333333332,0.01,3,5,3,0.02280371700587195,0
Views,0.04,7,0.01,0.01,7,4,3,0.0032867205977479665,0
Villa Gorilla,0.04,3,0.013333333333333334,0.01,1,3,1,0.02703433360367667,0
3 O'Clock,0.03,1,0.03,0.03,1,1,1,0.00461020699829422,0
ASK,0.03,20,0.03,0.03,15,8,6,0.01366431336825324,0
Badland Studio,0.03,8,0.03,0.03,3,7,4,0.01710278775440396,0
Berkeley,0.03,2,0.03,0.03,2,2,1,0.00840807174887892,0
Blue Byte,0.03,12,0.015,0.015,7,2,4,0.00840807174887892,0
BushiRoad,0.03,1,0.03,0.03,1,1,1,0.00704308017372931,0
Datam Polystar,0.03,15,0.015,0.015,8,5,4,0.003925929288643897,0
Epic Games,0.03,16,0.015,0.015,9,4,6,0.0072742890855277695,0
Extreme Entertainment Group,0.03,8,0.03,0.03,4,6,5,0.01041847542976211,0
Fuji,0.03,5,0.03,0.03,4,4,4,0.0275178866263071,0
Headup Games,0.03,21,0.015,0.015,9,7,8,0.00743089269790944,0
Hot-B,0.03,16,0.03,0.03,9,6,7,0.00588362195767714,0
Intergrow,0.03,1,0.03,0.03,1,1,1,0.01041847542976211,0
Just Flight,0.03,7,0.015,0.015,6,1,1,0.00458912072446919,0
KSS,0.03,18,0.03,0.03,6,4,8,0.01366431336825324,0
Kamui,0.03,2,0.03,0.03,1,1,2,0.00458912072446919,0
Kando Games,0.03,2,0.03,0.03,1,2,1,0.00539238595103713,0
Karin Entertainment,0.03,4,0.015,0.015,4,3,2,0.002200595701629985,0
Kokopeli Digital Studios,0.03,2,0.03,0.03,2,2,2,0.0275178866263071,0
Leadman Games,0.03,1,0.03,0.03,1,1,1,0.0202757502027575,0
Lighthouse Interactive,0.03,16,0.0075,0.005,4,1,4,0.0021410208539851617,0
Maximum Family Games,0.03,2,0.03,0.03,1,1,2,0.00704308017372931,0
Mediascape,0.03,2,0.015,0.015,1,2,2,0.01710278775440396,0
NetRevo,0.03,3,0.015,0.015,3,2,3,0.002703553603777945,0
New World Computing,0.03,20,0.015,0.015,8,7,5,0.023604930919399292,0
Nexon,0.03,13,0.03,0.03,7,4,4,0.00458912072446919,0
Number None,0.03,2,0.03,0.03,1,2,1,0.00415760078717241,0
Paon Corporation,0.03,2,0.03,0.03,2,2,1,0.00743089269790944,0
RED Entertainment,0.03,3,0.015,0.015,3,2,1,0.00413495909656823,0
Rejet,0.03,4,0.0075,0.01,3,1,2,0.0057201303515086194,0
Sunflowers,0.03,3,0.03,0.03,3,1,2,0.00676315433518192,0
SystemSoft Alpha,0.03,5,0.01,0.01,3,3,3,0.006874775947089535,0
Takuyo,0.03,35,0.005,0.005,16,8,6,0.002662014730707644,0
Tryfirst,0.03,5,0.01,0,2,3,5,0.00402533276084156,0
U&I Entertainment,0.03,9,0.015,0.015,2,4,3,0.0202757502027575,0
8-4,0.02,3,0.02,0.02,2,2,2,0.01351716680183833,0
A1 Games,0.02,2,0.02,0.02,2,1,2,0.00560538116591928,0
Codemasters Online,0.02,4,0.02,0.02,3,3,4,0.00268355517389437,0
Dispatch Games,0.02,2,0.02,0.02,2,1,2,0.01042100875364735,0
El Dia,0.02,5,0.006666666666666667,0.01,3,2,2,0.01351716680183833,0
Enlight,0.02,16,0.0033333333333333335,0,7,2,5,0.00392241463845143,0
EuroVideo Medien,0.02,8,0.01,0.01,4,3,5,0.005406674326681394,0
GOA,0.02,1,0.02,0.02,1,1,1,0.00268355517389437,0
Gaga,0.02,6,0.02,0.02,3,2,2,0.00910954224550216,0
Giga,0.02,7,0.02,0.02,6,2,2,0.00537562155624244,0
Giza10,0.02,1,0.02,0.02,1,1,1,0.0046953867824862,0
Graphsim Entertainment,0.02,3,0.01,0.01,2,1,3,0.00392241463845143,0
GungHo Online Entertainment,0.02,7,0.02,0.02,5,5,4,0.01140185850293597,0
Hoplite Research,0.02,2,0.02,0.02,2,2,2,0.01351716680183833,0
Imageworks,0.02,7,0.02,0.02,4,3,3,0.0183452577508714,0
King Records,0.02,13,0.02,0.02,11,6,5,0.00472232716282584,0
League of Geeks,0.02,6,0.02,0.02,2,6,1,0.01351716680183833,0
M2,0.02,2,0.01,0.01,2,1,2,0.00622975632619357,0
MAGES,0.02,3,0.01,0.01,2,3,2,0.01351716680183833,0
Marvelous Games,0.02,1,0.02,0.02,1,1,1,0.00694565028650807,0
Masque Publishing,0.02,3,0.02,0.02,3,1,2,0.00347801892042292,0
Mirai Shounen,0.02,1,0.02,0.02,1,1,1,0.00268355517389437,0
Mycom,0.02,11,0.02,0.02,10,4,4,0.03652300949598246,0
Nitroplus,0.02,2,0.01,0.01,2,2,2,0.003080317960687625,0
Phoenix Games,0.02,78,0.02,0.02,6,3,11,0.00307347133219614,0
Plenty,0.02,2,0.02,0.02,2,1,1,0.00347801892042292,0
Quintet,0.02,1,0.02,0.02,1,1,1,0.00685847536092726,0
Rain Games,0.02,13,0.004,0,5,9,2,0.0029494822331654898,0
Red Flagship,0.02,1,0.02,0.02,1,1,1,0.01140185850293597,0
Revolution (Japan),0.02,1,0.02,0.02,1,1,1,0.00277173385811494,0
SVG Distribution,0.02,2,0.01,0.01,1,2,2,0.00347801892042292,0
Saurus,0.02,5,0.02,0.02,4,3,5,0.00685847536092726,0
Team17 Digital Ltd,0.02,13,0.02,0.02,4,6,6,0.01140185850293597,0
Technical Associates Inc,0.02,1,0.02,0.02,1,1,1,0.01140185850293597,0
Toby Fox,0.02,4,0.01,0.01,3,3,2,0.01042100875364735,0
Visco,0.02,5,0.02,0.02,3,4,3,0.00347801892042292,0
Warashi,0.02,9,0.02,0.02,7,6,2,0.00307347133219614,0
fonfun,0.02,4,0.005,0,2,2,2,0.00268355517389437,0
11 bit studios,0.01,43,0.01,0.01,10,13,5,0.00570092925146798,0
Abel,0.01,19,0.0033333333333333335,0,9,4,2,0.00138586692905747,0
ArenaNet,0.01,1,0.01,0.01,1,1,1,0.00521050437682367,0
Ascaron Entertainment,0.01,14,0.005,0.005,11,1,4,0.0023476933912431,0
Assemble Entertainment,0.01,1,0.01,0.01,1,1,1,0.00675858340091916,0
Bergsala Lightweight,0.01,3,0.01,0.01,2,2,2,0.00268781077812122,0
Best Media,0.01,4,0.01,0.01,2,2,3,0.00134177758694718,0
Boost On,0.01,3,0.01,0.01,2,1,2,0.00247696423263648,0
Commseed,0.01,3,0.01,0.01,3,1,1,0.00134177758694718,0
Digiturbo,0.01,1,0.01,0.01,1,1,1,0.0023476933912431,0
Dimple Entertainment,0.01,14,0.0025,0,5,3,6,0.00138586692905747,0
EON Digital Entertainment,0.01,7,0.005,0.005,3,2,5,0.00320533367523559,0
First Class Simulations,0.01,3,0.0033333333333333335,0,3,1,1,0.00570092925146798,0
GMX Media,0.01,6,0.01,0.01,3,1,4,0.00225438477839397,0
Gadget Soft,0.01,3,0.0033333333333333335,0,2,2,1,0.00138586692905747,0
Genterprise,0.01,28,0.0033333333333333335,0,4,2,6,0.00138586692905747,0
Got Game Entertainment,0.01,11,0.0025,0,6,2,5,0.00179746198367904,0
"H2 Interactive Co., Ltd.",0.01,4,0.01,0.01,3,1,1,0.00268781077812122,0
Harukaze,0.01,3,0.0033333333333333335,0,2,3,2,0.00521050437682367,0
Hiromi,0.01,2,0.01,0.01,2,2,2,0.00342923768046363,0
Independent Arts Software GmbH,0.01,4,0.01,0.01,2,4,2,0.00347282514325403,0
Interchannel-Holon,0.01,6,0.01,0.01,1,2,3,0.00153673566609807,0
"Interworks Unlimited, Inc.",0.01,1,0.01,0.01,1,1,1,0.0023476933912431,0
Inti Creates,0.01,31,0.01,0.01,7,8,3,0.00570092925146798,0
KING Art Games,0.01,4,0.005,0.005,2,3,2,0.00247696423263648,0
Matatabi,0.01,1,0.01,0.01,1,1,1,0.00521050437682367,0
Media Entertainment,0.01,13,0.01,0.01,7,5,6,0.00236116358141292,0
Meridian4,0.01,25,0.005,0.005,9,2,8,0.00134177758694718,0
Michaelsoft,0.01,2,0.01,0.01,2,1,1,0.00179746198367904,0
Milkstone Studios,0.01,4,0.01,0.01,3,2,3,0.00347282514325403,0
Naxat Soft,0.01,56,0.01,0.01,14,12,12,0.00134177758694718,0
Nippon Cultural Broadcasting eXtend,0.01,1,0.01,0.01,1,1,1,0.00521050437682367,0
Now Production,0.01,11,0.01,0.01,7,2,3,0.00138586692905747,0
Ongakukan,0.01,3,0.01,0.01,3,2,1,0.00179746198367904,0
Otomate,0.01,1,0.01,0.01,1,1,1,0.00247696423263648,0
Otomate Idea Factory,0.01,1,0.01,0.01,1,1,1,0.00675858340091916,0
Paradox Development,0.01,1,0.01,0.01,1,1,1,0.00570092925146798,0
Qute,0.01,3,0.01,0.01,2,2,2,0.00173900946021146,0
RailSimulator.com,0.01,4,0.01,0.01,3,1,1,0.00152970690815639,0
Rebellion Games,0.01,7,0.01,0.01,3,7,1,0.00570092925146798,0
Shin'en,0.01,7,0.01,0.01,6,4,5,0.00347282514325403,0
Silky`s,0.01,1,0.01,0.01,1,1,1,0.00347282514325403,0
Studio Artdink,0.01,1,0.01,0.01,1,1,1,0.00675858340091916,0
Team Meat,0.01,8,0.01,0.01,4,6,2,0.00570092925146798,0
Tri Synergy,0.01,21,0.0033333333333333335,0,8,2,5,0.00153673566609807,0
Triangle Service,0.01,5,0.01,0.01,4,4,2,0.00138586692905747,0
Wolfgame,0.01,1,0.01,0.01,1,1,1,0.00521050437682367,0
eGames,0.01,16,0.005,0.005,8,1,7,0.00152970690815639,0
iMel,0.01,1,0.01,0.01,1,1,1,0.00521050437682367,0
100 Gates,0,2,NA,NA,1,1,2,NA,NA
10tons,0,7,NA,NA,2,1,2,NA,NA
10tons Ltd,0,32,NA,NA,8,11,4,NA,NA
1337 Game Design,0,1,NA,NA,1,1,1,NA,NA
13cm,0,3,NA,NA,3,1,1,NA,NA
14 Degrees East,0,1,NA,NA,1,1,1,NA,NA
17-Bit,0,6,NA,NA,2,3,2,NA,NA
1C Entertainment,0,4,NA,NA,2,3,2,NA,NA
1C Maddox Games,0,1,0,0,1,1,1,NA,0
1DER Entertainment,0,1,NA,NA,1,1,1,NA,NA
1st Playable,0,1,NA,NA,1,1,1,NA,NA
21st Century Entertainment,0,2,NA,NA,2,1,2,NA,NA
22Cans,0,4,NA,NA,1,4,1,NA,NA
2Awesome Studio,0,6,NA,NA,3,4,3,NA,NA
2DArray,0,1,NA,NA,1,1,1,NA,NA
2DEngine.com,0,1,NA,NA,1,1,1,NA,NA
2K Australia / 2K Boston,0,7,NA,NA,6,2,3,NA,NA
2K Boston,0,2,NA,NA,1,2,1,NA,NA
2XL Games,0,1,NA,NA,1,1,1,NA,NA
"2XL Games, Inc.",0,1,NA,NA,1,1,1,NA,NA
2ndDimensionGhost,0,1,NA,NA,1,1,1,NA,NA
3 Sprockets,0,3,NA,NA,1,3,1,NA,NA
3000AD,0,6,NA,NA,4,1,4,NA,NA
34BigThings srl,0,2,NA,NA,2,2,1,NA,NA
3909 LLC,0,5,NA,NA,3,4,3,NA,NA
3A Studios,0,1,NA,NA,1,1,1,NA,NA
3D Realms,0,13,NA,NA,8,5,3,NA,NA
3f Interactive,0,1,NA,NA,1,1,1,NA,NA
3rd Eye Studios,0,2,NA,NA,1,2,1,NA,NA
4PM Game LTD,0,2,NA,NA,1,2,1,NA,NA
4Pockets.com,0,1,NA,NA,1,1,1,NA,NA
"505 Games US, Inc.",0,5,NA,NA,2,5,2,NA,NA
7Levels,0,1,NA,NA,1,1,1,NA,NA
7th Level,0,6,NA,NA,4,1,5,NA,NA
8Floor,0,5,NA,NA,2,4,1,NA,NA
8bits fanatics,0,1,NA,NA,1,1,1,NA,NA
9 Eyes Game Studio,0,5,NA,NA,1,5,1,NA,NA
99Games,0,1,NA,NA,1,1,1,NA,NA
99Games Online Private Limited,0,1,NA,NA,1,1,1,NA,NA
@unepic_fran,0,2,NA,NA,2,1,1,NA,NA
A Crowd of Monsters,0,2,NA,NA,1,2,2,NA,NA
A&E Television Networks Mobile,0,1,NA,NA,1,1,1,NA,NA
A.Y.std,0,1,NA,NA,1,1,1,NA,NA
AAA,0,1,NA,NA,1,1,1,NA,NA
ADK,0,13,NA,NA,5,3,4,NA,NA
AGENIUS Interactive,0,2,NA,NA,1,1,1,NA,NA
AGM Playism,0,6,NA,NA,4,2,5,NA,NA
AIGRIND,0,1,NA,NA,1,1,1,NA,NA
AJTilley,0,1,NA,NA,1,1,1,NA,NA
AMA Studios,0,1,NA,NA,1,1,1,NA,NA
ANPA.US,0,1,NA,NA,1,1,1,NA,NA
AOL,0,1,NA,NA,1,1,1,NA,NA
AQUIRIS,0,4,NA,NA,1,4,1,NA,NA
"AREA 34, Inc.",0,2,NA,NA,1,2,1,NA,NA
ARUSH Entertainment,0,3,NA,NA,3,1,2,NA,NA
ASNetworks,0,8,NA,NA,2,1,2,NA,NA
AWEM Studio,0,5,NA,NA,4,2,2,NA,NA
Abandon Interactive Entertainment,0,1,NA,NA,1,1,1,NA,NA
Abbey Games,0,1,NA,NA,1,1,1,NA,NA
Absolute Entertainment,0,33,NA,NA,9,9,7,NA,NA
Abstraction Games,0,2,NA,NA,2,2,1,NA,NA
Access Software,0,7,NA,NA,7,1,2,NA,NA
Acer,0,1,NA,NA,1,1,1,NA,NA
Acid Wizard Studio,0,3,NA,NA,1,3,1,NA,NA
Acornsoft,0,1,NA,NA,1,1,1,NA,NA
Action Button Entertainment LLC,0,1,NA,NA,1,1,1,NA,NA
Active,0,4,NA,NA,2,1,3,NA,NA
Active Data Online Pty Ltd,0,1,NA,NA,1,1,1,NA,NA
Active Enterprises,0,3,NA,NA,2,2,2,NA,NA
Active Gaming Media,0,5,NA,NA,2,3,3,NA,NA
